sample,source,source_label,window,window_label,start_offset,end_offset,growth_kind,treatment,variable,N,mean,std,p25,median,p75,original_N,original_mean,original_std,original_p25,original_median,original_p75,mean_gap,std_gap,p25_gap,median_gap,p75_gap,N_gap,desc_distance
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,raw,FSales_combo_L_to_L1_total_raw,538,4.205158836165487,50.306667091855424,-0.04821806151691811,0.15629103046068757,0.3858216176197689,471,0.53,1.522,-0.008,0.18,0.523,3.6751588361654868,48.784667091855425,-0.04021806151691811,-0.023708969539312424,-0.1371783823802311,67,16.186321991807347
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,FSales_combo_L_to_L1_total_w1p,538,0.4094078405973609,1.6726612765279378,-0.04821806151691811,0.15629103046068757,0.3858216176197689,471,0.53,1.522,-0.008,0.18,0.523,-0.12059215940263912,0.15066127652793782,-0.04021806151691811,-0.023708969539312424,-0.1371783823802311,67,0.47325386121262614
w2_2019_2022,combo,"operating_revenue first, total_operating_revenue fallback",L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,raw,FSales_combo_L_to_L1_total_raw,471,4.724482174199237,53.74006824987851,-0.03446156882656508,0.16549970445480033,0.4042927875123599,471,0.53,1.522,-0.008,0.18,0.523,4.194482174199237,52.21806824987851,-0.026461568826565078,-0.01450029554519966,-0.1187072124876401,0,17.39543752911499
w2_2019_2022,combo,"operating_revenue first, total_operating_revenue fallback",L_to_L1_total,"listing_year -> listing_year+1, current logic",0,1,total,winsor_1_99,FSales_combo_L_to_L1_total_w1p,471,0.4079162725950434,1.600925054147338,-0.03446156882656508,0.16549970445480033,0.4042927875123599,471,0.53,1.522,-0.008,0.18,0.523,-0.1220837274049566,0.07892505414733808,-0.026461568826565078,-0.01450029554519966,-0.1187072124876401,0,0.2882532833879134
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,raw,FSales_combo_L1_to_L2_total_raw,537,0.24410867541601802,0.9461585556413988,-0.057463213532699606,0.14441402293845135,0.35042285543529855,471,0.53,1.522,-0.008,0.18,0.523,-0.28589132458398203,-0.5758414443586012,-0.049463213532699606,-0.035585977061548646,-0.17257714456470147,66,0.7947464140662323
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,FSales_combo_L1_to_L2_total_w1p,537,0.18786215061009293,0.45876817200060815,-0.057463213532699606,0.14441402293845135,0.35042285543529855,471,0.53,1.522,-0.008,0.18,0.523,-0.3421378493899071,-1.0632318279993918,-0.049463213532699606,-0.035585977061548646,-0.17257714456470147,66,0.972840534782355
w2_2019_2022,combo,"operating_revenue first, total_operating_revenue fallback",L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,raw,FSales_combo_L1_to_L2_total_raw,470,0.23314716656199916,0.9524512945546626,-0.07607655780860302,0.1319261965283845,0.33952877503914675,471,0.53,1.522,-0.008,0.18,0.523,-0.29685283343800084,-0.5695487054453374,-0.06807655780860303,-0.048073803471615495,-0.18347122496085327,-1,0.7068233171361056
w2_2019_2022,combo,"operating_revenue first, total_operating_revenue fallback",L1_to_L2_total,first complete listed fiscal year -> next fiscal year,1,2,total,winsor_1_99,FSales_combo_L1_to_L2_total_w1p,470,0.17798992835952712,0.44971337383396387,-0.07607655780860302,0.1319261965283845,0.33952877503914675,471,0.53,1.522,-0.008,0.18,0.523,-0.35201007164047293,-1.0722866261660362,-0.06807655780860303,-0.048073803471615495,-0.18347122496085327,-1,0.8876650355187523
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",Lm1_to_L1_total,"listing_year-1 -> listing_year+1, two-year total growth",-1,1,total,raw,FSales_combo_Lm1_to_L1_total_raw,82,52.14223724476729,355.477347204534,0.012937990610444837,0.34966343325543636,0.8570488862511999,471,0.53,1.522,-0.008,0.18,0.523,51.612237244767286,353.955347204534,0.020937990610444837,0.16966343325543637,0.3340488862511999,-389,141.39325536071263
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",Lm1_to_L1_total,"listing_year-1 -> listing_year+1, two-year total growth",-1,1,total,winsor_1_99,FSales_combo_Lm1_to_L1_total_w1p,82,34.03080155669183,212.06135364928903,0.012937990610444837,0.34966343325543636,0.8570488862511999,471,0.53,1.522,-0.008,0.18,0.523,33.500801556691826,210.53935364928904,0.020937990610444837,0.16966343325543637,0.3340488862511999,-389,87.42782128382596
w2_2019_2022,combo,"operating_revenue first, total_operating_revenue fallback",Lm1_to_L1_total,"listing_year-1 -> listing_year+1, two-year total growth",-1,1,total,raw,FSales_combo_Lm1_to_L1_total_raw,74,57.65053354603321,374.0272931963707,0.038186033520140265,0.34966343325543636,0.8570488862511999,471,0.53,1.522,-0.008,0.18,0.523,57.12053354603321,372.5052931963707,0.046186033520140266,0.16966343325543637,0.3340488862511999,-397,151.5676621813926
w2_2019_2022,combo,"operating_revenue first, total_operating_revenue fallback",Lm1_to_L1_total,"listing_year-1 -> listing_year+1, two-year total growth",-1,1,total,winsor_1_99,FSales_combo_Lm1_to_L1_total_w1p,74,37.58110481059824,223.0844603319711,0.038186033520140265,0.34966343325543636,0.8570488862511999,471,0.53,1.522,-0.008,0.18,0.523,37.05110481059824,221.5624603319711,0.046186033520140266,0.16966343325543637,0.3340488862511999,-397,93.76252522985773
full_2019_2023,combo,"operating_revenue first, total_operating_revenue fallback",Lm1_to_L1_cagr,"listing_year-1 -> listing_year+1, annualized CAGR",-1,1,cagr,raw,FSales_combo_Lm1_to_L1_cagr_raw,82,1.3326635349223563,6.949087587647117,0.006433588722916717,0.1617488395323422,0.36262084340789663,471,0.53,1.522,-0.008,0.18,0.523,0.8026635349223563,5.427087587647117,0.014433588722916717,-0.01825116046765779,-0.1603791565921034,-389,3.123282543255355
